krets,parti,stemmer
7,PP,5
7,PS,3
7,GENP,0
9,A,395
9,SV,164
9,RØDT,44
9,SP,71
9,KRF,107
9,MDG,57
9,V,135
9,H,496
9,FRP,154
9,AAN,0
9,DEMN,6
9,FNB,2
9,HELSE,2
9,INP,1
9,KRISTNE,14
9,KYST,0
9,LIBS,1
9,NKP,0
9,PIR,1
9,PP,4
9,PS,3
9,GENP,0
13,A,377
13,SV,220
13,RØDT,86
13,SP,58
13,KRF,69
13,MDG,93
13,V,123
13,H,305
13,FRP,82
13,AAN,0
13,DEMN,10
13,FNB,0
13,HELSE,1
13,INP,2
13,KRISTNE,1
13,KYST,0
13,LIBS,2
13,NKP,0
13,PIR,0
13,PP,9
13,PS,4
13,GENP,1
14,A,473
14,SV,291
14,RØDT,159
14,SP,85
14,KRF,79
14,MDG,118
14,V,137
14,H,354
14,FRP,117
14,AAN,6
14,DEMN,9
14,FNB,2
14,HELSE,2
14,INP,3
14,KRISTNE,11
14,KYST,1
14,LIBS,4
14,NKP,0
14,PIR,1
14,PP,7
14,PS,3
14,GENP,0
15,A,490
15,SV,273
15,RØDT,118
15,SP,63
15,KRF,53
15,MDG,149
15,V,151
15,H,343
15,FRP,103
15,AAN,3
15,DEMN,8
15,FNB,4
15,HELSE,0
15,INP,6
15,KRISTNE,5
15,KYST,0
15,LIBS,7
15,NKP,0
15,PIR,1
15,PP,8
15,PS,2
15,GENP,0
18,A,456
18,SV,220
18,RØDT,86
18,SP,52
18,KRF,51
18,MDG,82
18,V,145
18,H,517
18,FRP,117
18,AAN,0
18,DEMN,7
18,FNB,4
18,HELSE,2
18,INP,6
18,KRISTNE,1
18,KYST,0
18,LIBS,2
18,NKP,0
18,PIR,1
18,PP,6
18,PS,3
18,GENP,0
19,A,438
19,SV,358
19,RØDT,204
19,SP,84
19,KRF,35
19,MDG,125
19,V,172
19,H,425
19,FRP,133
19,AAN,2
19,DEMN,15
19,FNB,4
19,HELSE,4
19,INP,2
19,KRISTNE,5
19,KYST,0
19,LIBS,3
19,NKP,2
19,PIR,0
19,PP,10
19,PS,5
19,GENP,1
22,A,288
22,SV,101
22,RØDT,39
22,SP,60
22,KRF,32
22,MDG,54
22,V,54
22,H,340
22,FRP,107
22,AAN,1
22,DEMN,13
22,FNB,0
22,HELSE,0
22,INP,4
22,KRISTNE,3
22,KYST,0
22,LIBS,1
22,NKP,0
22,PIR,2
22,PP,5
22,PS,6
22,GENP,0
23,A,431
23,SV,146
23,RØDT,51
23,SP,89
23,KRF,61
23,MDG,47
23,V,112
23,H,551
23,FRP,208
23,AAN,3
23,DEMN,9
23,FNB,5
23,HELSE,0
23,INP,3
23,KRISTNE,5
23,KYST,1
23,LIBS,4
23,NKP,0
23,PIR,3
23,PP,9
23,PS,3
23,GENP,0
24,A,350
24,SV,97
24,RØDT,53
24,SP,121
24,KRF,75
24,MDG,28
24,V,65
24,H,307
24,FRP,150
24,AAN,1
24,DEMN,11
24,FNB,7
24,HELSE,1
24,INP,4
24,KRISTNE,4
24,KYST,1
24,LIBS,3
24,NKP,0
24,PIR,0
24,PP,9
24,PS,4
24,GENP,1
28,A,504
28,SV,159
28,RØDT,65
28,SP,108
28,KRF,72
28,MDG,43
28,V,68
28,H,436
28,FRP,205
28,AAN,0
28,DEMN,13
28,FNB,1
28,HELSE,5
28,INP,1
28,KRISTNE,6
28,KYST,2
28,LIBS,5
28,NKP,1
28,PIR,1
28,PP,17
28,PS,3
28,GENP,0
29,A,255
29,SV,96
29,RØDT,35
29,SP,103
29,KRF,48
29,MDG,32
29,V,42
29,H,293
29,FRP,191
29,AAN,3
29,DEMN,12
29,FNB,9
29,HELSE,6
29,INP,5
29,KRISTNE,2
29,KYST,0
29,LIBS,0
29,NKP,0
29,PIR,2
29,PP,5
29,PS,4
29,GENP,0
31,A,259
31,SV,69
31,RØDT,37
31,SP,113
31,KRF,60
31,MDG,30
31,V,38
31,H,259
31,FRP,180
31,AAN,2
31,DEMN,12
31,FNB,11
31,HELSE,1
31,INP,3
31,KRISTNE,5
31,KYST,0
31,LIBS,2
31,NKP,1
31,PIR,3
31,PP,5
31,PS,1
31,GENP,1
32,A,299
32,SV,98
32,RØDT,47
32,SP,62
32,KRF,32
32,MDG,25
32,V,36
32,H,243
32,FRP,108
32,AAN,1
32,DEMN,12
32,FNB,3
32,HELSE,2
32,INP,2
32,KRISTNE,1
32,KYST,0
32,LIBS,2
32,NKP,1
32,PIR,2
32,PP,9
32,PS,4
32,GENP,0
35,A,123
35,SV,68
35,RØDT,35
35,SP,69
35,KRF,32
35,MDG,7
35,V,19
35,H,136
35,FRP,118
35,AAN,1
35,DEMN,5
35,FNB,1
35,HELSE,0
35,INP,5
35,KRISTNE,2
35,KYST,0
35,LIBS,1
35,NKP,0
35,PIR,0
35,PP,1
35,PS,1
35,GENP,1
36,A,380
36,SV,131
36,RØDT,52
36,SP,155
36,KRF,80
36,MDG,31
36,V,40
36,H,333
36,FRP,180
36,AAN,0
36,DEMN,14
36,FNB,1
36,HELSE,5
36,INP,5
36,KRISTNE,5
36,KYST,0
36,LIBS,4
36,NKP,0
36,PIR,4
36,PP,11
36,PS,3
36,GENP,0
39,A,210
39,SV,67
39,RØDT,35
39,SP,130
39,KRF,53
39,MDG,13
39,V,30
39,H,201
39,FRP,174
39,AAN,0
39,DEMN,7
39,FNB,4
39,HELSE,3
39,INP,3
39,KRISTNE,4
39,KYST,0
39,LIBS,1
39,NKP,0
39,PIR,1
39,PP,3
39,PS,0
39,GENP,2
44,A,195
44,SV,57
44,RØDT,35
44,SP,100
44,KRF,29
44,MDG,19
44,V,29
44,H,225
44,FRP,147
44,AAN,0
44,DEMN,7
44,FNB,4
44,HELSE,0
44,INP,7
44,KRISTNE,5
44,KYST,0
44,LIBS,2
44,NKP,0
44,PIR,1
44,PP,5
44,PS,2
44,GENP,0
45,A,229
45,SV,105
45,RØDT,42
45,SP,116
45,KRF,54
45,MDG,40
45,V,81
45,H,438
45,FRP,193
45,AAN,1
45,DEMN,10
45,FNB,2
45,HELSE,2
45,INP,2
45,KRISTNE,5
45,KYST,0
45,LIBS,1
45,NKP,0
45,PIR,0
45,PP,7
45,PS,7
45,GENP,0
48,A,377
48,SV,140
48,RØDT,44
48,SP,81
48,KRF,67
48,MDG,51
48,V,124
48,H,587
48,FRP,133
48,AAN,0
48,DEMN,11
48,FNB,2
48,HELSE,5
48,INP,1
48,KRISTNE,5
48,KYST,0
48,LIBS,2
48,NKP,0
48,PIR,0
48,PP,7
48,PS,8
48,GENP,2
49,A,577
49,SV,221
49,RØDT,107
49,SP,143
49,KRF,92
49,MDG,93
49,V,185
49,H,718
49,FRP,250
49,AAN,1
49,DEMN,11
49,FNB,4
49,HELSE,4
49,INP,7
49,KRISTNE,7
49,KYST,0
49,LIBS,4
49,NKP,0
49,PIR,4
49,PP,10
49,PS,5
49,GENP,1
52,A,170
52,SV,116
52,RØDT,30
52,SP,34
52,KRF,34
52,MDG,54
52,V,111
52,H,330
52,FRP,44
52,AAN,1
52,DEMN,9
52,FNB,1
52,HELSE,0
52,INP,1
52,KRISTNE,1
52,KYST,1
52,LIBS,2
52,NKP,0
52,PIR,4
52,PP,3
52,PS,1
52,GENP,2
54,A,613
54,SV,149
54,RØDT,82
54,SP,127
54,KRF,92
54,MDG,73
54,V,149
54,H,868
54,FRP,280
54,AAN,0
54,DEMN,15
54,FNB,3
54,HELSE,4
54,INP,5
54,KRISTNE,8
54,KYST,0
54,LIBS,1
54,NKP,0
54,PIR,3
54,PP,3
54,PS,3
54,GENP,0
55,A,451
55,SV,141
55,RØDT,60
55,SP,126
55,KRF,64
55,MDG,63
55,V,146
55,H,662
55,FRP,167
55,AAN,1
55,DEMN,14
55,FNB,3
55,HELSE,5
55,INP,4
55,KRISTNE,4
55,KYST,0
55,LIBS,3
55,NKP,1
55,PIR,1
55,PP,6
55,PS,1
55,GENP,2
58,A,256
58,SV,64
58,RØDT,25
58,SP,131
58,KRF,79
58,MDG,31
58,V,68
58,H,495
58,FRP,227
58,AAN,0
58,DEMN,14
58,FNB,3
58,HELSE,1
58,INP,1
58,KRISTNE,11
58,KYST,0
58,LIBS,5
58,NKP,0
58,PIR,2
58,PP,7
58,PS,3
58,GENP,1
62,A,478
62,SV,162
62,RØDT,74
62,SP,113
62,KRF,47
62,MDG,53
62,V,78
62,H,389
62,FRP,246
62,AAN,0
62,DEMN,12
62,FNB,5
62,HELSE,3
62,INP,5
62,KRISTNE,5
62,KYST,1
62,LIBS,3
62,NKP,1
62,PIR,2
62,PP,12
62,PS,4
62,GENP,0
63,A,386
63,SV,172
63,RØDT,63
63,SP,71
63,KRF,47
63,MDG,49
63,V,79
63,H,394
63,FRP,183
63,AAN,1
63,DEMN,13
63,FNB,1
63,HELSE,1
63,INP,6
63,KRISTNE,2
63,KYST,0
63,LIBS,3
63,NKP,1
63,PIR,2
63,PP,8
63,PS,3
63,GENP,0
67,A,541
67,SV,154
67,RØDT,85
67,SP,108
67,KRF,50
67,MDG,32
67,V,68
67,H,470
67,FRP,296
67,AAN,3
67,DEMN,13
67,FNB,5
67,HELSE,8
67,INP,9
67,KRISTNE,2
67,KYST,2
67,LIBS,6
67,NKP,0
67,PIR,1
67,PP,17
67,PS,5
67,GENP,3
68,A,584
68,SV,141
68,RØDT,69
68,SP,111
68,KRF,60
68,MDG,41
68,V,88
68,H,464
68,FRP,291
68,AAN,5
68,DEMN,22
68,FNB,2
68,HELSE,6
68,INP,9
68,KRISTNE,3
68,KYST,0
68,LIBS,6
68,NKP,0
68,PIR,2
68,PP,17
68,PS,1
68,GENP,0
70,A,385
70,SV,88
70,RØDT,44
70,SP,84
70,KRF,42
70,MDG,31
70,V,71
70,H,596
70,FRP,265
70,AAN,1
70,DEMN,14
70,FNB,2
70,HELSE,2
70,INP,17
70,KRISTNE,3
70,KYST,0
70,LIBS,4
70,NKP,0
70,PIR,1
70,PP,5
70,PS,1
70,GENP,2
71,A,465
71,SV,121
71,RØDT,59
71,SP,72
71,KRF,47
71,MDG,49
71,V,89
71,H,429
71,FRP,186
71,AAN,0
71,DEMN,6
71,FNB,5
71,HELSE,1
71,INP,5
71,KRISTNE,3
71,KYST,1
71,LIBS,4
71,NKP,0
71,PIR,0
71,PP,12
71,PS,4
71,GENP,0
74,A,324
74,SV,156
74,RØDT,70
74,SP,48
74,KRF,37
74,MDG,45
74,V,52
74,H,204
74,FRP,118
74,AAN,1
74,DEMN,10
74,FNB,0
74,HELSE,2
74,INP,1
74,KRISTNE,3
74,KYST,1
74,LIBS,6
74,NKP,0
74,PIR,2
74,PP,7
74,PS,2
74,GENP,1
76,A,388
76,SV,147
76,RØDT,69
76,SP,80
76,KRF,41
76,MDG,51
76,V,86
76,H,356
76,FRP,154
76,AAN,0
76,DEMN,13
76,FNB,2
76,HELSE,4
76,INP,6
76,KRISTNE,1
76,KYST,1
76,LIBS,7
76,NKP,0
76,PIR,1
76,PP,13
76,PS,1
76,GENP,1
77,A,407
77,SV,186
77,RØDT,70
77,SP,76
77,KRF,65
77,MDG,68
77,V,106
77,H,357
77,FRP,110
77,AAN,1
77,DEMN,8
77,FNB,1
77,HELSE,3
77,INP,4
77,KRISTNE,0
77,KYST,0
77,LIBS,1
77,NKP,0
77,PIR,1
77,PP,5
77,PS,4
77,GENP,1
78,A,386
78,SV,116
78,RØDT,60
78,SP,90
78,KRF,33
78,MDG,32
78,V,50
78,H,289
78,FRP,175
78,AAN,1
78,DEMN,10
78,FNB,6
78,HELSE,3
78,INP,6
78,KRISTNE,7
78,KYST,0
78,LIBS,1
78,NKP,1
78,PIR,2
78,PP,8
78,PS,2
78,GENP,2
