krets,parti,stemmer
28,A,589
28,SV,102
28,RØDT,80
28,SP,57
28,KRF,70
28,MDG,81
28,V,77
28,H,330
28,FRP,344
28,DEMN,16
28,DNI,2
28,FRED,2
28,GENP,21
28,HELSE,2
28,INP,10
28,KRISTNE,5
28,PP,24
28,PS,0
29,A,270
29,SV,36
29,RØDT,31
29,SP,50
29,KRF,45
29,MDG,34
29,V,24
29,H,145
29,FRP,245
29,DEMN,12
29,DNI,3
29,FRED,2
29,GENP,13
29,HELSE,3
29,INP,7
29,KRISTNE,2
29,PP,10
29,PS,0
31,A,319
31,SV,47
31,RØDT,57
31,SP,56
31,KRF,64
31,MDG,39
31,V,37
31,H,156
31,FRP,298
31,DEMN,15
31,DNI,5
31,FRED,5
31,GENP,21
31,HELSE,3
31,INP,10
31,KRISTNE,7
31,PP,12
31,PS,3
35,A,134
35,SV,26
35,RØDT,32
35,SP,25
35,KRF,39
35,MDG,13
35,V,14
35,H,59
35,FRP,132
35,DEMN,6
35,DNI,3
35,FRED,0
35,GENP,4
35,HELSE,2
35,INP,3
35,KRISTNE,1
35,PP,1
35,PS,0
36,A,329
36,SV,81
36,RØDT,60
36,SP,52
36,KRF,69
36,MDG,42
36,V,32
36,H,179
36,FRP,252
36,DEMN,6
36,DNI,4
36,FRED,3
36,GENP,10
36,HELSE,0
36,INP,5
36,KRISTNE,4
36,PP,15
36,PS,1
39,A,216
39,SV,37
39,RØDT,43
39,SP,45
39,KRF,50
39,MDG,22
39,V,20
39,H,132
39,FRP,213
39,DEMN,11
39,DNI,0
39,FRED,0
39,GENP,10
39,HELSE,2
39,INP,4
39,KRISTNE,2
39,PP,9
39,PS,0
44,A,187
44,SV,21
44,RØDT,36
44,SP,56
44,KRF,36
44,MDG,24
44,V,29
44,H,137
44,FRP,187
44,DEMN,6
44,DNI,3
44,FRED,2
44,GENP,25
44,HELSE,1
44,INP,5
44,KRISTNE,4
44,PP,4
44,PS,1
45,A,280
45,SV,53
45,RØDT,43
45,SP,38
45,KRF,45
45,MDG,58
45,V,71
45,H,289
45,FRP,238
45,DEMN,4
45,DNI,3
45,FRED,3
45,GENP,17
45,HELSE,2
45,INP,3
45,KRISTNE,2
45,PP,8
45,PS,0
48,A,481
48,SV,84
48,RØDT,49
48,SP,31
48,KRF,81
48,MDG,106
48,V,110
48,H,433
48,FRP,257
48,DEMN,14
48,DNI,1
48,FRED,4
48,GENP,15
48,HELSE,2
48,INP,2
48,KRISTNE,8
48,PP,8
48,PS,1
49,A,839
49,SV,176
49,RØDT,120
49,SP,66
49,KRF,107
49,MDG,231
49,V,209
49,H,690
49,FRP,440
49,DEMN,21
49,DNI,2
49,FRED,13
49,GENP,45
49,HELSE,6
49,INP,21
49,KRISTNE,12
49,PP,18
49,PS,8
54,A,662
54,SV,100
54,RØDT,70
54,SP,64
54,KRF,107
54,MDG,117
54,V,111
54,H,621
54,FRP,504
54,DEMN,19
54,DNI,5
54,FRED,10
54,GENP,32
54,HELSE,5
54,INP,9
54,KRISTNE,13
54,PP,25
54,PS,3
55,A,464
55,SV,58
55,RØDT,45
55,SP,27
55,KRF,50
55,MDG,86
55,V,84
55,H,421
55,FRP,230
55,DEMN,9
55,DNI,2
55,FRED,0
55,GENP,13
55,HELSE,3
55,INP,5
55,KRISTNE,6
55,PP,7
55,PS,2
58,A,286
58,SV,32
58,RØDT,32
58,SP,30
58,KRF,71
58,MDG,56
58,V,57
58,H,341
58,FRP,318
58,DEMN,8
58,DNI,1
58,FRED,0
58,GENP,16
58,HELSE,2
58,INP,8
58,KRISTNE,5
58,PP,11
58,PS,1
62,A,548
62,SV,107
62,RØDT,77
62,SP,19
62,KRF,45
62,MDG,83
62,V,58
62,H,283
62,FRP,284
62,DEMN,7
62,DNI,2
62,FRED,3
62,GENP,15
62,HELSE,1
62,INP,6
62,KRISTNE,5
62,PP,14
62,PS,0
63,A,463
63,SV,127
63,RØDT,102
63,SP,37
63,KRF,67
63,MDG,83
63,V,57
63,H,272
63,FRP,312
63,DEMN,12
63,DNI,0
63,FRED,3
63,GENP,23
63,HELSE,1
63,INP,4
63,KRISTNE,3
63,PP,11
63,PS,0
67,A,527
67,SV,86
67,RØDT,83
67,SP,39
67,KRF,44
67,MDG,42
67,V,53
67,H,309
67,FRP,390
67,DEMN,16
67,DNI,0
67,FRED,5
67,GENP,30
67,HELSE,6
67,INP,6
67,KRISTNE,5
67,PP,19
67,PS,0
68,A,485
68,SV,87
68,RØDT,93
68,SP,28
68,KRF,48
68,MDG,43
68,V,63
68,H,246
68,FRP,340
68,DEMN,9
68,DNI,0
68,FRED,7
68,GENP,19
68,HELSE,3
68,INP,5
68,KRISTNE,4
68,PP,12
68,PS,3
70,A,355
70,SV,53
70,RØDT,37
70,SP,24
70,KRF,50
70,MDG,38
70,V,62
70,H,332
70,FRP,316
70,DEMN,12
70,DNI,2
70,FRED,2
70,GENP,28
70,HELSE,5
70,INP,4
70,KRISTNE,1
70,PP,2
70,PS,0
71,A,440
71,SV,88
71,RØDT,55
71,SP,27
71,KRF,43
71,MDG,65
71,V,73
71,H,262
71,FRP,261
71,DEMN,11
71,DNI,0
71,FRED,3
71,GENP,10
71,HELSE,1
71,INP,10
71,KRISTNE,2
71,PP,15
71,PS,0
74,A,312
74,SV,89
74,RØDT,67
74,SP,20
74,KRF,31
74,MDG,70
74,V,44
74,H,127
74,FRP,136
74,DEMN,8
74,DNI,2
74,FRED,6
74,GENP,11
74,HELSE,0
74,INP,2
74,KRISTNE,2
74,PP,12
74,PS,0
76,A,346
76,SV,84
76,RØDT,59
76,SP,30
76,KRF,28
76,MDG,57
76,V,67
76,H,199
76,FRP,223
76,DEMN,9
76,DNI,1
76,FRED,2
76,GENP,24
76,HELSE,1
76,INP,3
76,KRISTNE,6
76,PP,13
76,PS,3
77,A,438
77,SV,89
77,RØDT,66
77,SP,45
77,KRF,53
77,MDG,119
77,V,73
77,H,259
77,FRP,197
77,DEMN,8
77,DNI,1
77,FRED,13
77,GENP,11
77,HELSE,1
77,INP,5
77,KRISTNE,5
77,PP,9
77,PS,0
78,A,353
78,SV,61
78,RØDT,52
78,SP,36
78,KRF,37
78,MDG,38
78,V,36
78,H,166
78,FRP,259
78,DEMN,3
78,DNI,4
78,FRED,4
78,GENP,29
78,HELSE,1
78,INP,2
78,KRISTNE,10
78,PP,13
78,PS,2
99,A,35132
99,SV,9440
99,RØDT,7084
99,SP,2147
99,KRF,4566
99,MDG,7944
99,V,5039
99,H,23353
99,FRP,25691
99,DEMN,577
99,DNI,120
99,FRED,316
99,GENP,1273
99,HELSE,153
99,INP,329
99,KRISTNE,490
99,PP,1061
99,PS,120
