krets,parti,stemmer
0,A,3
0,SV,0
0,RØDT,2
0,SP,1
0,KRF,0
0,MDG,0
0,V,1
0,H,11
0,FRP,12
0,DEMN,0
0,DNI,0
0,FRED,0
0,GENP,0
0,HELSE,0
0,INP,0
0,KRISTNE,0
0,PP,1
0,PS,0
1,A,765
1,SV,365
1,RØDT,265
1,SP,52
1,KRF,65
1,MDG,345
1,V,205
1,H,423
1,FRP,302
1,DEMN,20
1,DNI,1
1,FRED,10
1,GENP,43
1,HELSE,2
1,INP,11
1,KRISTNE,12
1,PP,10
1,PS,6
2,A,234
2,SV,156
2,RØDT,122
2,SP,13
2,KRF,19
2,MDG,126
2,V,59
2,H,133
2,FRP,90
2,DEMN,4
2,DNI,0
2,FRED,2
2,GENP,8
2,HELSE,0
2,INP,1
2,KRISTNE,4
2,PP,4
2,PS,2
3,A,296
3,SV,99
3,RØDT,117
3,SP,12
3,KRF,21
3,MDG,113
3,V,73
3,H,167
3,FRP,118
3,DEMN,12
3,DNI,0
3,FRED,6
3,GENP,6
3,HELSE,4
3,INP,0
3,KRISTNE,1
3,PP,3
3,PS,0
4,A,319
4,SV,71
4,RØDT,62
4,SP,18
4,KRF,48
4,MDG,122
4,V,87
4,H,266
4,FRP,90
4,DEMN,4
4,DNI,0
4,FRED,2
4,GENP,10
4,HELSE,1
4,INP,0
4,KRISTNE,5
4,PP,3
4,PS,0
7,A,300
7,SV,144
7,RØDT,89
7,SP,22
7,KRF,33
7,MDG,117
7,V,66
7,H,165
7,FRP,154
7,DEMN,10
7,DNI,0
7,FRED,7
7,GENP,20
7,HELSE,2
7,INP,7
7,KRISTNE,3
7,PP,11
7,PS,2
9,A,500
9,SV,87
9,RØDT,50
9,SP,27
9,KRF,96
9,MDG,105
9,V,118
9,H,397
9,FRP,240
9,DEMN,8
9,DNI,0
9,FRED,3
9,GENP,14
9,HELSE,5
9,INP,3
9,KRISTNE,22
9,PP,6
9,PS,2
13,A,457
13,SV,143
13,RØDT,86
13,SP,19
13,KRF,58
13,MDG,156
13,V,65
13,H,178
13,FRP,126
13,DEMN,7
13,DNI,0
13,FRED,2
13,GENP,9
13,HELSE,3
13,INP,1
13,KRISTNE,3
13,PP,2
13,PS,1
14,A,491
14,SV,207
14,RØDT,115
14,SP,31
14,KRF,67
14,MDG,182
14,V,87
14,H,270
14,FRP,160
14,DEMN,8
14,DNI,1
14,FRED,5
14,GENP,18
14,HELSE,1
14,INP,11
14,KRISTNE,6
14,PP,14
14,PS,3
15,A,524
15,SV,163
15,RØDT,107
15,SP,31
15,KRF,50
15,MDG,208
15,V,104
15,H,258
15,FRP,163
15,DEMN,12
15,DNI,1
15,FRED,5
15,GENP,11
15,HELSE,1
15,INP,1
15,KRISTNE,6
15,PP,9
15,PS,0
18,A,506
18,SV,92
18,RØDT,65
18,SP,33
18,KRF,51
18,MDG,146
18,V,128
18,H,320
18,FRP,200
18,DEMN,10
18,DNI,2
18,FRED,5
18,GENP,8
18,HELSE,2
18,INP,4
18,KRISTNE,6
18,PP,11
18,PS,4
19,A,535
19,SV,222
19,RØDT,188
19,SP,34
19,KRF,32
19,MDG,235
19,V,105
19,H,256
19,FRP,176
19,DEMN,18
19,DNI,2
19,FRED,9
19,GENP,22
19,HELSE,1
19,INP,4
19,KRISTNE,4
19,PP,10
19,PS,1
22,A,251
22,SV,37
22,RØDT,42
22,SP,14
22,KRF,28
22,MDG,62
22,V,66
22,H,174
22,FRP,138
22,DEMN,4
22,DNI,2
22,FRED,2
22,GENP,17
22,HELSE,5
22,INP,2
22,KRISTNE,6
22,PP,3
22,PS,2
23,A,410
23,SV,52
23,RØDT,54
23,SP,34
23,KRF,51
23,MDG,65
23,V,75
23,H,321
23,FRP,245
23,DEMN,4
23,DNI,0
23,FRED,2
23,GENP,14
23,HELSE,1
23,INP,5
23,KRISTNE,4
23,PP,8
23,PS,0
24,A,347
24,SV,66
24,RØDT,54
24,SP,43
24,KRF,60
24,MDG,56
24,V,48
24,H,171
24,FRP,216
24,DEMN,12
24,DNI,0
24,FRED,2
24,GENP,15
24,HELSE,1
24,INP,6
24,KRISTNE,4
24,PP,7
24,PS,2
