krets,parti,stemmer
35,PIR,9
35,PP,3
35,FOLKEM,1
36,A,499
36,SV,95
36,RØDT,11
36,SP,47
36,KRF,107
36,V,95
36,H,443
36,FRP,231
36,DEMN,0
36,KRISTNE,11
36,KYST,1
36,MDG,44
36,NKP,1
36,PIR,3
36,PP,4
36,FOLKEM,1
37,A,405
37,SV,65
37,RØDT,9
37,SP,65
37,KRF,93
37,V,94
37,H,496
37,FRP,189
37,DEMN,1
37,KRISTNE,5
37,KYST,0
37,MDG,31
37,NKP,0
37,PIR,11
37,PP,4
37,FOLKEM,0
39,A,322
39,SV,45
39,RØDT,9
39,SP,48
39,KRF,113
39,V,50
39,H,364
39,FRP,222
39,DEMN,2
39,KRISTNE,11
39,KYST,0
39,MDG,29
39,NKP,0
39,PIR,5
39,PP,4
39,FOLKEM,4
40,A,337
40,SV,103
40,RØDT,14
40,SP,34
40,KRF,66
40,V,107
40,H,471
40,FRP,118
40,DEMN,0
40,KRISTNE,4
40,KYST,1
40,MDG,52
40,NKP,0
40,PIR,7
40,PP,1
40,FOLKEM,0
44,A,293
44,SV,40
44,RØDT,7
44,SP,62
44,KRF,77
44,V,58
44,H,421
44,FRP,225
44,DEMN,3
44,KRISTNE,7
44,KYST,3
44,MDG,33
44,NKP,1
44,PIR,4
44,PP,3
44,FOLKEM,4
45,A,451
45,SV,88
45,RØDT,6
45,SP,60
45,KRF,132
45,V,179
45,H,837
45,FRP,331
45,DEMN,1
45,KRISTNE,7
45,KYST,1
45,MDG,58
45,NKP,0
45,PIR,8
45,PP,5
45,FOLKEM,4
48,A,521
48,SV,113
48,RØDT,10
48,SP,42
48,KRF,163
48,V,173
48,H,1014
48,FRP,268
48,DEMN,3
48,KRISTNE,9
48,KYST,0
48,MDG,65
48,NKP,1
48,PIR,8
48,PP,3
48,FOLKEM,4
49,A,943
49,SV,245
49,RØDT,28
49,SP,86
49,KRF,266
49,V,322
49,H,1373
49,FRP,443
49,DEMN,5
49,KRISTNE,26
49,KYST,2
49,MDG,172
49,NKP,1
49,PIR,21
49,PP,8
49,FOLKEM,3
51,A,212
51,SV,49
51,RØDT,6
51,SP,10
51,KRF,28
51,V,98
51,H,474
51,FRP,97
51,DEMN,0
51,KRISTNE,1
51,KYST,0
51,MDG,50
51,NKP,0
51,PIR,2
51,PP,2
51,FOLKEM,0
52,A,205
52,SV,78
52,RØDT,9
52,SP,18
52,KRF,58
52,V,100
52,H,456
52,FRP,73
52,DEMN,0
52,KRISTNE,1
52,KYST,1
52,MDG,53
52,NKP,0
52,PIR,4
52,PP,3
52,FOLKEM,1
54,A,520
54,SV,83
54,RØDT,12
54,SP,35
54,KRF,138
54,V,141
54,H,883
54,FRP,270
54,DEMN,4
54,KRISTNE,12
54,KYST,2
54,MDG,45
54,NKP,1
54,PIR,12
